,Model,Manufacturer,Base Clock(MHz),Turbo Clock(MHz),Cores,Threads,L2 Cache(KB),L3 Cache(KB),Process(nm),TDP(Watt),Days Old,3DMark06(score)
0,AMD Ryzen Threadripper PRO 7995WX,AMD,2500,5100,96,192,98304,393216,5,350,22,1000
1,AMD Ryzen Threadripper PRO 3995WX,AMD,2700,4200,64,128,32768,262144,7,280,1244,777
2,Intel Core i9-14900K,Intel,3200,6000,24,32,32768,36864,10,125,84,973
3,AMD Ryzen 9 7950X,AMD,4500,5700,16,32,16384,65536,0,170,410,985
4,Intel Core i9-13900K,Intel,3000,5800,24,32,32768,36864,10,125,446,944
5,AMD Ryzen 9 7950X3D,AMD,4200,5700,16,32,16384,131072,5,120,310,948
6,Intel Core i7-14700K,Intel,2500,5600,20,28,28672,33792,10,125,84,966
7,AMD Ryzen 9 7900X,AMD,4700,5600,12,24,12288,65536,5,170,440,996
8,Intel Core i7-13700K,Intel,3400,5400,16,24,24576,30720,10,125,469,848
9,AMD Ryzen Threadripper PRO 3975WX,AMD,3500,4200,32,64,16384,131072,7,280,1244,790
10,Intel Core i9-13980HX,Intel,1600,5600,24,32,32768,36864,10,55,370,923
11,Intel Core i9-13950HX,Intel,1600,5500,24,32,32768,36864,10,55,370,903
12,Intel Core i9-13900HX,Intel,1600,5400,24,32,32768,36864,10,55,370,842
13,AMD Ryzen 9 7900,AMD,3700,5400,12,24,12288,65536,5,65,360,909
14,Intel Core i9-12900K,Intel,3200,5200,16,24,14336,30720,10,125,795,876
15,Intel Core i5-14600K,Intel,3500,5300,14,20,20480,24576,10,125,84,845
16,AMD Ryzen 7 7700X,AMD,4500,5400,8,16,8192,32768,5,170,470,846
17,AMD Ryzen 7 7700,AMD,3800,5300,8,16,8192,32768,5,65,369,854
18,AMD Ryzen 9 5950X,AMD,3400,4900,16,32,8192,65536,7,105,1188,825
19,Intel Core i5-13600K,Intel,3500,5100,14,20,20480,24576,10,125,446,823
20,AMD Ryzen 7 7800X3D,AMD,4200,5000,8,16,1,98304,5,162,278,788
21,Intel Core i9-12900,Intel,2400,5100,16,24,14336,20480,10,65,735,815
22,Intel Core i7-13700,Intel,2100,5200,16,24,24576,30720,10,65,370,803
23,Intel Core i9-12900HX,Intel,1700,5000,16,24,14336,30720,10,55,609,825
24,AMD Ryzen Threadripper 2970WX,AMD,3000,4200,24,48,12288,65536,12,250,1898,514
25,Intel Core i7-13700HX,Intel,1500,5000,16,24,24576,30720,10,55,370,795
26,Intel Core i7-12700K,Intel,2700,5000,12,20,12288,25600,10,125,795,785
27,Intel Core i9-13900H,Intel,1900,5400,14,20,11776,24576,10,45,370,716
28,AMD Ryzen 9 5900X,AMD,3700,4800,12,24,6144,65536,7,105,1188,767
29,Intel Core i9-10980XE,Intel,3000,4600,18,36,18432,25395,14,165,1560,658
30,Intel Core i9-9980XE,Intel,3000,4400,18,36,18432,25395,14,165,1836,628
31,Intel Core i9-12900HK,Intel,1800,5000,14,20,11776,24576,10,45,735,782
32,Intel Core i9-12900H,Intel,1800,5000,14,20,11776,24576,10,45,735,595
33,Intel Core i7-13700H,Intel,1800,5000,14,20,11776,24576,10,45,370,719
34,Intel Core i5-13400F,Intel,2500,4600,10,16,9728,20480,10,65,370,651
35,Intel Core i5-13400,Intel,2500,4600,10,16,9728,20480,10,65,370,635
36,Intel Core i7-12700F,Intel,3300,4900,12,20,12288,25600,10,65,735,738
37,Intel Core i7-12700,Intel,3300,4900,12,20,12288,25600,10,65,735,718
38,Intel Core i5-12600K,Intel,2800,4900,10,16,9728,20480,10,125,795,733
39,AMD Ryzen 5 7600X,AMD,4700,5300,6,12,6144,32768,5,105,470,807
40,AMD Ryzen 5 7600,AMD,3800,5100,6,12,6144,32768,5,65,360,746
41,AMD Ryzen 9 7940HS,AMD,4000,5200,8,16,8192,16384,4,35,369,733
42,AMD Ryzen 7 7745HX,AMD,3600,5100,8,16,8192,32768,0,55,369,790
43,Intel Core i7-13650HX,Intel,1900,4900,14,20,0,24576,10,55,370,749
44,AMD Ryzen 7 7840HS,AMD,3800,5100,8,16,8192,16384,4,35,369,731
45,AMD Ryzen 7 7840S,AMD,3800,5100,8,16,8192,16384,4,35,369,678
46,AMD Ryzen 7 PRO 7840HS,AMD,3800,5100,8,16,8192,16384,4,35,210,688
47,Intel Core i5-13500HX,Intel,1800,4700,14,20,0,24576,10,55,370,680
48,AMD Ryzen 9 3900X,AMD,3800,4600,12,24,6144,65536,7,105,1647,694
49,Intel Core i7-13620H,Intel,1800,4900,10,16,9728,24576,10,45,370,635
50,Intel Core i7-12700H,Intel,1700,4700,14,20,11776,24576,10,45,735,654
51,AMD Ryzen 7 5800X3D,AMD,3400,4500,8,16,4096,98304,7,105,616,675
52,AMD Ryzen 7 5800X,AMD,3800,4700,8,16,4096,32768,7,105,1188,740
53,AMD Ryzen 9 6900HX,AMD,3300,4900,8,16,4096,16384,6,45,735,618
54,Intel Core i7-12650H,Intel,1700,4700,10,16,9728,24576,10,45,735,591
55,Intel Core i9-11900KB,Intel,3300,5300,8,16,10240,24576,10,65,939,697
56,AMD Ryzen 9 3900,AMD,3100,4300,12,24,6144,65536,7,65,1553,643
57,AMD Ryzen 7 5700X,AMD,3400,4600,8,16,4096,32768,7,65,645,693
58,Intel Core i7-11700K,Intel,3600,5000,8,16,4096,16384,14,125,984,765
59,AMD Ryzen 7 5700G,AMD,3800,4600,8,16,4096,16384,7,65,1001,667
60,AMD Ryzen 9 6900HS,AMD,3300,4900,8,16,4096,16384,6,35,735,662
61,AMD Ryzen 7 6800H,AMD,3200,4700,8,16,4096,16384,6,45,735,650
62,AMD Ryzen 7 PRO 6850H,AMD,3200,4700,8,16,4096,16384,6,45,629,540
63,AMD Ryzen Threadripper 2920X,AMD,3500,4300,12,24,6144,32768,12,180,1898,508
64,AMD Ryzen 9 5900HX,AMD,3300,4600,8,16,4096,16384,7,45,1097,664
65,Intel Core i7-11700,Intel,2500,4900,8,16,4096,16384,14,65,784,687
66,Intel Core i5-13500H,Intel,1900,4700,12,16,10240,18432,10,45,370,685
67,Intel Core i5-12500H,Intel,1800,4500,12,16,10240,18432,10,45,735,611
68,Intel Core i7-1360P,Intel,1600,5000,12,16,10240,18432,10,28,370,595
69,Intel Core i7-1280P,Intel,1300,4800,14,20,11776,24576,10,28,735,302
70,AMD Ryzen 7 7735HS,AMD,3200,4750,8,16,4096,16384,6,35,369,624
71,AMD Ryzen 7 7735H,AMD,3200,4750,8,16,4096,16384,6,35,369,601
72,AMD Ryzen 7 6800HS,AMD,3200,4700,8,16,4096,16384,6,35,735,647
73,AMD Ryzen 7 3700X,AMD,3600,4400,8,16,4096,32768,7,65,1647,643
74,Intel Core i9-9900KS,Intel,4000,5000,8,16,2048,16384,14,127,1532,694
75,AMD Ryzen 5 PRO 7640HS,AMD,4300,5000,6,12,6144,16384,4,54,369,602
76,AMD Ryzen 7 7840U,AMD,3300,5100,8,16,8192,16384,4,28,251,606
77,Intel Core i9-9900K,Intel,3600,5000,8,16,2048,16384,14,95,1919,665
78,AMD Ryzen 5 5600X,AMD,3700,4600,6,12,3072,32768,7,65,1188,679
79,Intel Core i5-11600K,Intel,3900,4900,6,12,3072,12288,14,125,1015,676
80,Intel Core i7-11800H,Intel,2300,4600,8,16,10240,24576,10,45,973,622
81,Intel Core i7-1355U,Intel,1200,5000,10,12,9728,12288,10,15,735,469
82,AMD Ryzen 7 7735U,AMD,2700,4750,8,16,4096,16384,6,28,369,482
83,AMD Ryzen 7 5800H,AMD,3200,4400,8,16,4096,16384,7,45,1097,595
84,AMD Ryzen 7 PRO 6850U,AMD,2700,4700,8,16,4096,16384,6,28,629,531
85,Intel Core i9-7900X,Intel,3300,4500,10,20,10240,14131,14,140,2415,590
86,AMD Ryzen 5 7535HS,AMD,3300,4550,6,12,3072,16384,6,35,369,569
87,Intel Core i9-10980HK,Intel,2400,5300,8,16,2048,16384,14,45,1377,641
88,AMD Ryzen 9 4900HS,AMD,3000,4300,8,16,4096,8192,7,35,1403,579
89,Intel Xeon W-10885M,Intel,2400,5300,8,16,2048,16384,14,45,1336,628
90,Intel Core i9-10885H,Intel,2400,5300,8,16,2048,16384,14,45,1377,562
91,AMD Ryzen 7 6800U,AMD,2700,4700,8,16,4096,16384,6,28,735,462
92,AMD Ryzen 5 5600G,AMD,3900,4400,6,12,3072,16384,7,65,1001,600
93,Intel Core i7-1265U,Intel,1300,4800,10,12,9728,12288,10,15,735,436
94,Intel Core i7-1260P,Intel,1500,4700,12,16,10240,18432,10,28,735,603
95,AMD Ryzen 7 PRO 7730U,AMD,2000,4500,8,16,4096,16384,7,15,735,405
96,AMD Ryzen 7 5825U,AMD,2000,4500,8,16,4096,16384,7,15,735,524
97,AMD Ryzen 5 5600H,AMD,3300,4200,6,12,3072,16384,7,45,1097,558
98,AMD Ryzen 7 PRO 5850U,AMD,1900,4400,8,16,4096,16384,7,15,1097,541
99,AMD Ryzen 7 4800H,AMD,2900,4200,8,16,4096,8192,7,45,1463,590
100,Intel Core i7-10875H,Intel,2300,5100,8,16,2048,16384,14,45,1377,602
101,Intel Core i9-9980HK,Intel,2400,5000,8,16,2048,16384,14,45,1715,615
102,Intel Core i7-9700K,Intel,3600,4900,8,8,2048,12288,14,95,1919,601
103,Intel Core i5-12450H,Intel,1500,4400,8,12,8192,12288,10,45,735,531
104,Intel Core i5-12400F,Intel,2500,4400,6,12,7680,18329,10,65,735,553
105,Intel Core i5-11400F,Intel,2600,4400,6,12,3072,12288,14,65,965,622
106,AMD Ryzen 7 4800HS,AMD,2900,4200,8,16,4096,8192,7,35,1463,595
107,Intel Core i9-9880H,Intel,2300,4800,8,16,2048,16384,14,45,1715,568
108,Intel Core i7-8086K,Intel,3700,5000,6,12,1536,12288,14,95,2048,521
109,Intel Core i7-8700K,Intel,3700,4700,6,12,1536,12288,14,95,2560,544
110,AMD Ryzen 7 2700X,AMD,3700,4300,8,16,4096,16384,12,105,2098,494
111,Intel Core i5-11400H,Intel,2700,4500,6,12,7680,12288,10,45,973,560
112,Intel Core i7-6950X,Intel,3000,3500,10,20,2560,25600,14,120,2861,494
113,AMD Ryzen 7 5700U,AMD,1800,4300,8,16,4096,8192,7,25,1097,542
114,Intel Xeon E-2176G,Intel,3700,4700,6,12,1536,12288,14,80,1956,544
115,Intel Core i9-8950HK,Intel,2900,4800,6,12,1536,12288,14,45,2138,513
116,Intel Core i7-10850H,Intel,2700,5100,6,12,1536,12288,14,45,1377,438
117,Intel Core i7-10750H,Intel,2600,5000,6,12,1536,12288,14,45,1377,525
118,Intel Core i5-1340P,Intel,1400,4600,12,16,9216,12288,10,28,735,536
119,AMD Ryzen 7 4800U,AMD,1800,4200,8,16,4096,8192,7,15,1463,474
120,Intel Core i7-8700,Intel,3200,4600,6,12,1536,12288,14,65,2560,520
121,Intel Core i5-10500H,Intel,2500,4500,6,12,0,12288,14,45,1377,518
122,Intel Core i5-9600K,Intel,3700,4600,6,6,1536,9216,14,95,1919,509
123,Intel Core i7-9850H,Intel,2600,4600,6,12,1536,12288,14,45,1715,466
124,Intel Core i7-9750H,Intel,2600,4500,6,12,0,12288,14,45,1715,501
125,Intel Core i9-9900T,Intel,2100,4400,8,16,2048,16384,14,35,1919,475
126,AMD Ryzen 7 2700,AMD,3200,4100,8,16,4096,16384,12,65,2098,438
127,AMD Ryzen 7 1800X,AMD,3600,4000,8,16,4096,16384,14,95,2504,444
128,AMD Ryzen 7 1700X,AMD,3400,3800,8,16,4096,16384,14,95,2504,420
129,Intel Xeon E5-2680 v4,Intel,2400,3300,14,28,3584,35840,14,120,2861,382
130,Intel Xeon E5-2697 v2,Intel,2700,3500,12,24,3072,30720,22,130,3773,409
131,Intel Xeon E-2176M,Intel,2700,4400,6,12,1536,12288,14,45,2140,452
132,Intel Core i7-11390H,Intel,3400,5000,4,8,5120,12288,10,35,860,470
133,AMD Ryzen 7 PRO 4750U,AMD,1700,4100,8,16,4096,8192,7,15,1342,511
134,Intel Core i7-1195G7,Intel,2900,5000,4,8,5120,12288,10,28,954,463
135,Intel Core i7-11370H,Intel,3300,4800,4,8,5120,12288,10,35,1093,464
136,Intel Core i5-1250P,Intel,1200,4400,12,16,10240,12288,10,28,735,550
137,AMD Ryzen 5 PRO 6650U,AMD,2900,4500,6,12,3072,16384,6,28,629,526
138,AMD Ryzen 5 6600U,AMD,2900,4500,6,12,3072,16384,6,28,735,459
139,Intel Core i5-1245U,Intel,1200,4400,10,12,9728,12288,10,15,735,565
140,Intel Core i5-1335U,Intel,900,4600,10,12,9728,12288,10,15,735,571
141,Intel Core i7-1185G7,Intel,3000,4800,4,8,5120,12288,10,28,1224,421
142,Intel Core i7-7740X,Intel,4300,4500,4,8,1024,8192,14,112,2415,475
143,Intel Core i7-8850H,Intel,2600,4300,6,12,1536,9216,14,45,2138,488
144,Intel Core i5-8600K,Intel,3600,4300,6,6,1536,9216,14,95,2560,420
145,Intel Core i7-7700K,Intel,4200,4500,4,8,1024,8192,14,91,2562,471
146,Intel Core i5-8500,Intel,3000,4100,6,6,1536,9216,14,65,2108,459
147,Intel Core i7-8750H,Intel,2200,4100,6,12,1536,9216,14,45,2138,477
148,AMD Ryzen 7 4700U,AMD,2000,4100,8,8,4096,8192,7,15,1463,399
149,Intel Core i7-1165G7,Intel,2800,4700,4,8,5120,12288,10,28,1225,343
150,Intel Core i7-10810U,Intel,1100,4900,6,12,1024,12288,14,15,1336,314
151,Intel Core i7-10710U,Intel,1100,4700,6,12,1024,12288,14,15,1591,485
152,Intel Core i7-5960X,Intel,3000,3500,8,16,2048,20480,22,140,3417,460
153,AMD Ryzen 7 1700,AMD,3000,3700,8,16,4096,16384,14,65,2504,385
154,Intel Core i5-8400,Intel,2800,4000,6,6,1536,9216,14,65,2560,438
155,AMD Ryzen 5 5625U,AMD,2300,4300,6,12,3072,16384,7,15,735,531
156,AMD Ryzen 5 5600U,AMD,2300,4200,6,12,3072,16384,7,25,1097,525
157,AMD Ryzen 5 PRO 5650U,AMD,2300,4200,6,12,3072,16384,7,15,1097,516
158,AMD Ryzen 5 2600,AMD,3400,3900,6,12,3072,16384,12,65,2097,430
159,Intel Core i5-11400T,Intel,1300,3700,6,12,3072,12288,14,35,1029,334
160,AMD Ryzen 5 5500U,AMD,2100,4000,6,12,3072,8192,7,25,1097,425
161,AMD Ryzen 5 PRO 4650U,AMD,2100,4000,6,12,3072,8192,7,15,1342,472
162,Intel Core i5-11320H,Intel,3200,4500,4,8,5120,8192,10,35,860,505
163,Intel Core i5-11300H,Intel,3100,4400,4,8,5120,8192,10,35,1093,475
164,Intel Core i5-1230U,Intel,700,4400,10,12,9728,12288,10,9,735,305
165,Intel Core i5-10400H,Intel,2600,4600,4,8,1024,8192,14,45,1377,443
166,Intel Core i3-10320,Intel,3800,4600,4,8,1024,8089,14,65,1329,459
167,Intel Core i7-4960X,Intel,3600,4000,6,12,1536,15360,22,130,3780,404
168,Intel Core i5-1145G7,Intel,2600,4400,4,8,5120,8192,10,28,1225,412
169,Intel Core i7-6700K,Intel,4000,4200,4,8,1024,8192,14,91,3079,418
170,Intel Xeon E5-2680,Intel,2700,3500,8,16,2048,20480,32,130,4326,365
171,Intel Core i7-3960X,Intel,3300,3900,6,12,1536,15360,32,130,4439,384
172,Intel Core i5-1135G7,Intel,2400,4200,4,8,5120,8192,10,28,1225,382
173,Intel Core i5-10300H,Intel,2500,4500,4,8,1024,8192,14,45,1377,451
174,AMD Ryzen 5 4500U,AMD,2300,4000,6,6,3072,8192,7,15,1463,413
175,Intel Core i7-8809G,Intel,3100,4200,4,8,1024,8192,14,100,2190,408
176,Intel Core i7-4790K,Intel,4000,4400,4,8,1024,8192,22,88,3874,439
177,Intel Core i5-8500T,Intel,2100,3500,6,6,1536,9216,14,35,2048,372
178,AMD Ryzen 5 1600,AMD,3200,3600,6,12,3072,16384,14,65,2464,380
179,Intel Xeon E3-1280 v5,Intel,3700,4000,4,8,1024,8192,14,80,3079,391
180,Intel Core i7-6700,Intel,3400,4000,4,8,1024,8192,14,65,3079,391
181,Intel Xeon E3-1535M v6,Intel,3100,4200,4,8,1024,8192,14,45,2562,380
182,Intel Core i5-1038NG7,Intel,2000,3800,4,8,2048,6144,10,28,1345,362
183,Intel Core i5-9300H,Intel,2400,4100,4,8,1024,8192,14,45,1715,374
184,Intel Core i7-7700T,Intel,2900,3800,4,8,1024,8192,14,35,2562,382
185,Intel Core i5-7600K,Intel,3800,4200,4,4,1024,8192,14,91,2562,394
186,Intel Core i7-8559U,Intel,2700,4500,4,8,1024,8192,14,28,2107,384
187,Intel Core i7-5775C,Intel,3300,3700,4,8,1024,6144,14,65,3143,366
188,Intel Core i7-4770K,Intel,3500,3900,4,8,1024,8192,22,84,3874,370
189,Intel Xeon E3-1505M v6,Intel,3000,4000,4,8,1024,8192,14,45,2562,355
190,AMD Ryzen 5 1500X,AMD,3500,3700,4,8,2048,16384,14,65,2464,341
191,Intel Core i7-4940MX,Intel,3100,4000,4,8,1024,8192,22,57,3642,354
192,Intel Core i7-7820HQ,Intel,2900,3900,4,8,1024,8192,14,45,2562,354
193,Intel Core i7-7820HK,Intel,2900,3900,4,8,1024,8192,14,45,2562,371
194,Intel Core i7-6920HQ,Intel,2900,3800,4,8,1024,8192,14,45,3052,360
195,Intel Core i7-990X EE,Intel,3467,3733,6,12,1536,12288,32,130,5052,324
196,Intel Core i7-980X EE,Intel,3333,3600,6,12,1536,12288,32,130,5052,327
197,Intel Core i7-4930MX,Intel,3000,3900,4,8,1024,8192,22,57,3874,343
198,Intel Xeon E3-1535M v5,Intel,2900,3800,4,8,1024,8192,14,45,3052,332
199,AMD Ryzen 5 2400G,AMD,3600,3900,4,8,2048,4096,14,65,2190,306
200,Intel Core i7-7700HQ,Intel,2800,3800,4,8,1024,6144,14,45,2562,354
201,Intel Core i5-8305G,Intel,2800,3800,4,8,1024,6144,14,65,2193,357
202,Intel Core i5-7500,Intel,3400,3800,4,4,1024,6144,14,65,2562,333
203,Intel Xeon E3-1505M v5,Intel,2800,3700,4,8,1024,8192,14,45,3052,323
204,Intel Core i5-8279U,Intel,2400,4100,4,8,1024,6144,14,28,1742,408
205,Intel Core i7-4980HQ,Intel,2800,4000,4,8,1024,6144,22,47,3459,350
206,Intel Core i7-4910MQ,Intel,2900,3900,4,8,1024,8192,22,47,3642,325
207,Intel Xeon E3-1230 v3,Intel,3300,3700,4,8,1024,8192,22,80,3874,369
208,Intel Core i5-6600K,Intel,3500,3900,4,4,1024,6144,14,91,3079,341
209,Intel Core i7-3770K,Intel,3500,3900,4,8,1024,8192,22,77,4293,332
210,Intel Core i7-3940XM,Intel,3000,3900,4,8,1024,8192,22,55,4118,330
211,Intel Core i7-5700HQ,Intel,2700,3500,4,8,1024,6144,14,47,3143,353
212,Intel Core i7-6820HK,Intel,2700,3600,4,8,1024,8192,14,45,3052,341
213,Intel Core i7-6820HQ,Intel,2700,3600,4,8,1024,8192,14,45,3052,315
214,Intel Core i7-6700T,Intel,2800,3600,4,8,1024,6144,14,35,3052,334
215,Intel Core i7-1065G7,Intel,1300,3900,4,8,2048,8192,10,15,1686,426
216,AMD Ryzen 5 1400,AMD,3200,3400,4,8,2048,8192,14,65,2464,295
217,Intel Core i5-8259U,Intel,2300,3800,4,8,1024,6144,14,28,2107,365
218,Intel Core i7-4900MQ,Intel,2800,3800,4,8,1024,8192,22,47,3874,330
219,Intel Core i7-10610U,Intel,1800,4900,4,8,1024,8192,14,15,1336,377
220,Intel Core i7-10510U,Intel,1800,4900,4,8,1024,8192,14,15,1591,280
221,Intel Core i7-6700HQ,Intel,2600,3500,4,8,1024,6144,14,45,3052,326
222,Intel Core i7-4810MQ,Intel,2800,3800,4,8,1024,6144,22,47,3642,324
223,Intel Core i7-4870HQ,Intel,2500,3700,4,8,1024,6144,22,47,3459,304
224,AMD Ryzen 3 1300X,AMD,3500,3700,4,4,2048,8192,14,65,2356,289
225,Intel Core i5-1035G7,Intel,1200,3700,4,8,2048,6144,10,15,1686,404
226,Intel Core i5-1035G4,Intel,1100,3700,4,8,2048,6144,10,15,1686,342
227,AMD Ryzen 7 3750H,AMD,2300,4000,4,8,2048,4096,12,35,1829,342
228,Qualcomm Snapdragon 8cx Gen 3,Qualcomm,2400,2995,8,8,6144,8192,5,7,768,174
229,AMD Ryzen 7 3700U,AMD,2300,4000,4,8,2048,4096,12,15,1829,208
230,Intel Core i7-8665U,Intel,1900,4800,4,8,1024,8192,14,15,1729,292
231,Intel Core i7-8650U,Intel,1900,4200,4,8,1024,8192,14,15,2332,319
232,Intel Core i5-10210U,Intel,1600,4200,4,8,1024,6144,14,15,1591,292
233,Intel Core i7-3920XM,Intel,2900,3800,4,8,1024,8192,22,55,4278,320
234,Intel Core i7-4800MQ,Intel,2700,3700,4,8,1024,6144,22,47,3874,334
235,Intel Core i7-2700K,Intel,3500,3900,4,8,1024,8192,32,95,4437,314
236,Intel Core i7-4720HQ,Intel,2600,3600,4,8,1024,6144,22,47,3295,318
237,Intel Core i7-3840QM,Intel,2800,3800,4,8,1024,8192,22,45,4118,322
238,Intel Core i7-4710HQ,Intel,2500,3500,4,8,1024,6144,22,47,3557,321
239,Intel Core i7-4710MQ,Intel,2500,3500,4,8,1024,6144,22,47,3557,314
240,Intel Core i7-8565U,Intel,1800,4600,4,8,1024,8192,14,15,1967,282
241,Intel Core i7-3820QM,Intel,2700,3700,4,8,1024,8192,22,45,4278,315
242,Intel Core i7-2600K,Intel,3400,3800,4,8,1024,8192,32,95,4754,306
243,Intel Core i5-8365U,Intel,1600,4100,4,8,1024,6144,14,15,1729,290
244,Intel Core i7-3740QM,Intel,2700,3700,4,8,1024,6144,22,45,4118,314
245,Intel Xeon X5670,Intel,2933,3333,6,12,1536,12288,32,95,5052,265
246,Intel Core i7-3720QM,Intel,2600,3600,4,8,1024,6144,22,45,4278,305
247,Intel Core i7-4700HQ,Intel,2400,3400,4,8,1024,6144,22,47,3874,310
248,Intel Core i7-4700MQ,Intel,2400,3400,4,8,1024,6144,22,47,3874,316
249,Intel Core i5-8265U,Intel,1600,3900,4,8,1024,6144,14,15,1967,289
250,Intel Core i5-1140G7,Intel,1800,4200,4,8,5120,8192,10,15,1224,346
251,Intel Core i7-2960XM,Intel,2700,3700,4,8,1024,8192,32,55,4511,313
252,AMD Ryzen 5 3550H,AMD,2100,3700,4,8,2048,4096,12,35,1829,330
253,AMD Ryzen 7 2700U,AMD,2200,3800,4,8,2048,4096,14,15,2190,278
254,AMD Ryzen 3 5300U,AMD,2600,3800,4,8,2048,4096,7,25,1097,366
255,AMD Ryzen 3 2200G,AMD,3500,3700,4,4,2048,4096,14,65,2193,305
256,AMD Ryzen 5 3500U,AMD,2100,3700,4,8,2048,4096,12,15,1829,272
257,Intel Core i5-1130G7,Intel,1800,4000,4,8,5120,8192,10,15,1224,254
258,AMD Ryzen 3 4300U,AMD,2700,3700,4,4,2048,4096,7,15,1463,278
259,AMD Ryzen 5 3580U,AMD,2100,3700,4,8,2048,4096,12,15,1829,253
260,Intel Core i5-3570K,Intel,3400,3800,4,4,1024,6144,22,77,4293,301
261,Intel Core i5-6500,Intel,3200,3600,4,4,1024,6144,14,65,3079,305
262,Intel Core i7-8550U,Intel,1800,4000,4,8,1024,8192,14,15,2332,267
263,Intel Core i5-1030NG7,Intel,1100,3500,4,8,2048,6144,10,10,1390,172
