,Model,Manufacturer,Base Clock(MHz),Turbo Clock(MHz),Cores,Threads,L2 Cache(KB),L3 Cache(KB),Process(nm),TDP(Watt),Days Old,3DMark06(score)
543,AMD A6-6310,AMD,1800,2400,4,4,2048,0,28,15,3542,120
544,Intel Core i3-330M,Intel,2130,0,2,4,512,3072,32,35,5112,97
545,AMD Phenom II X2 N620,AMD,2800,0,2,2,2048,0,45,35,4990,99
546,Intel Pentium B950,Intel,2100,0,2,2,512,2048,32,35,4622,93
547,AMD Athlon 64 (Desktop) FX-62,AMD,2800,0,2,2,2048,0,90,125,6431,93
548,Intel Core 2 Duo P8600,Intel,2400,0,2,2,3072,0,45,25,5656,93
549,Intel Core 2 Duo T8300,Intel,2400,0,2,2,3072,0,45,35,5843,92
550,Intel Core i5-2537M,Intel,1400,2300,2,4,512,3072,32,17,4754,105
551,Intel Core 2 Duo T7700,Intel,2400,0,2,2,4096,0,65,34,5973,88
552,AMD Phenom II X4 N950,AMD,2100,0,4,4,2048,0,45,35,4845,132
553,AMD Phenom II X4 N930,AMD,2000,0,4,4,2048,0,45,35,4990,125
554,AMD Phenom II X3 N850,AMD,2200,0,3,3,1536,0,45,35,4845,113
555,Intel Pentium 2127U,Intel,1900,0,2,2,512,2048,22,17,3844,87
556,Intel Pentium B940,Intel,2000,0,2,2,512,2048,32,35,4622,87
557,AMD A4-7210,AMD,1800,2200,4,4,2048,0,28,0,3169,118
558,Intel Pentium 3558U,Intel,1700,0,2,2,512,2048,22,15,3660,82
559,AMD A6-9225,AMD,2600,3100,2,2,1024,0,28,15,2048,92
560,AMD A6-9220,AMD,2500,2900,2,2,1024,0,28,0,2778,98
561,Intel Pentium 3556U,Intel,1700,0,2,2,512,2048,22,15,3752,83
562,Intel Pentium 2117U,Intel,1800,0,2,2,512,2048,22,17,4117,80
563,Intel Celeron 1000M,Intel,1800,0,2,2,512,2048,22,35,4005,82
564,Intel Celeron 1037U,Intel,1800,0,2,2,512,2048,22,17,4005,81
565,AMD Phenom II X3 N830,AMD,2100,0,3,3,1536,0,45,35,4990,105
566,Intel Core 2 Duo SP9300,Intel,2260,0,2,2,6144,0,45,25,5620,85
567,AMD A8-3520M,AMD,1600,2500,4,4,4096,0,32,35,4483,109
568,Intel Celeron N4505,Intel,2000,2900,2,2,1536,4096,10,10,1093,143
569,Intel Celeron J4025,Intel,2000,2900,2,2,4096,0,14,10,1527,113
570,Intel Celeron N4500,Intel,1100,2800,2,2,1536,4096,10,6,1093,88
571,Intel Celeron N4020,Intel,1100,2800,2,2,4096,0,14,6,1527,109
572,AMD A10-4655M,AMD,2000,2800,4,4,4096,0,32,25,4256,93
573,AMD A8-4500M,AMD,1900,2800,4,4,4096,0,32,35,4256,106
574,Intel Core 2 Duo P8400,Intel,2260,0,2,2,3072,0,45,25,5656,87
575,AMD Phenom II X4 P960,AMD,1800,0,4,4,2048,0,45,25,4830,110
576,AMD A6-3410MX,AMD,1600,2300,4,4,4096,0,32,45,4592,105
577,AMD A8-3500M,AMD,1500,2400,4,4,4096,0,32,35,4592,98
578,AMD A6-3420M,AMD,1500,2400,4,4,4096,0,32,35,4591,100
579,Intel Core 2 Duo P7570,Intel,2260,0,2,2,3072,0,45,25,5213,88
580,Intel Core 2 Duo P7550,Intel,2260,0,2,2,3072,0,45,25,5213,86
581,Intel Core 2 Duo T7600,Intel,2330,0,2,2,4096,0,65,34,6343,86
582,Intel Pentium P6200,Intel,2133,0,2,2,512,3072,32,35,4853,83
583,AMD A6-3400M,AMD,1400,2300,4,4,4096,0,32,35,4591,92
584,Intel Core i5-560UM,Intel,1333,2130,2,4,512,3072,32,18,4848,85
585,Intel Pentium Dual Core T4500,Intel,2300,0,2,2,1024,0,45,35,5477,81
586,Intel Core 2 Duo T7500,Intel,2200,0,2,2,4096,0,65,35,6090,81
587,AMD Athlon 64 X2 (Desktop) FX-60,AMD,2600,0,2,2,2048,0,90,110,6573,84
588,Intel Core 2 Duo P7450,Intel,2130,0,2,2,3072,0,45,25,5486,81
589,AMD Phenom II X4 P920,AMD,1600,0,4,4,2048,0,45,25,4990,90
590,Intel Core 2 Duo T7400,Intel,2160,0,2,2,4096,0,65,34,6343,79
591,Intel Core 2 Duo T6670,Intel,2200,0,2,2,2048,0,45,35,5486,79
592,Intel Core 2 Duo T6600,Intel,2200,0,2,2,2048,0,45,35,5481,83
593,AMD Turion II N530,AMD,2500,0,2,2,2048,0,45,35,4990,92
594,Intel Core 2 Duo T8100,Intel,2100,0,2,2,3072,0,45,35,5843,80
595,AMD Phenom II X3 P820,AMD,1800,0,3,3,1536,0,45,25,4990,88
596,AMD A8-4555M,AMD,1600,2400,4,4,4096,0,32,19,4117,80
597,Intel Core 2 Duo T5900,Intel,2200,0,2,2,2048,0,65,35,5578,79
598,Intel Core 2 Duo P7370,Intel,2000,0,2,2,3072,0,45,25,5486,72
599,Intel Core Duo T2700,Intel,2330,0,2,2,2048,0,65,31,6374,79
600,Intel Pentium Dual Core T4400,Intel,2200,0,2,2,1024,0,45,35,5152,81
601,Intel Pentium P6100,Intel,2000,0,2,2,512,3072,32,35,4853,78
602,Intel Celeron M P4600,Intel,2000,0,2,2,512,2048,32,35,4848,76
603,AMD A6-5350M,AMD,2900,3500,2,2,1024,0,32,35,3955,69
604,Intel Celeron N4000,Intel,1100,2600,2,2,4096,0,14,6,2220,98
605,AMD A6-5200,AMD,2000,0,4,4,2048,0,28,25,3883,117
606,Intel Celeron N3450,Intel,1100,2200,4,4,2048,0,14,6,2686,113
607,Intel Pentium N3710,Intel,1600,2560,4,4,2048,0,14,6,2839,108
608,Intel Atom x7-Z8750,Intel,1600,2560,4,4,2048,0,14,0,2839,106
609,AMD Athlon 64 X2 (Desktop) 4800+,AMD,2400,0,2,2,2048,0,90,65,6868,76
610,Intel Pentium P6000,Intel,1860,0,2,2,512,3072,32,35,5031,69
611,Intel Core 2 Duo P7350,Intel,2000,0,2,2,3072,0,45,25,5656,76
612,Intel Core 2 Duo T7300,Intel,2000,0,2,2,4096,0,65,34,6089,73
613,Intel Core 2 Duo T6570,Intel,2100,0,2,2,2048,0,45,35,5486,77
614,Intel Core 2 Duo T6500,Intel,2100,0,2,2,2048,0,45,35,5486,80
615,Intel Core 2 Duo T5850,Intel,2100,0,2,2,2048,0,65,34,5578,75
616,AMD A4-5150M,AMD,2700,3300,2,2,1024,0,32,35,3955,80
617,AMD A6-4400M,AMD,2700,3200,2,0,1024,0,32,35,4256,76
618,AMD A4-4300M,AMD,2500,3000,2,0,1024,0,32,35,4210,71
619,Intel Celeron 1017U,Intel,1600,0,2,2,512,2048,22,17,3844,72
620,Intel Pentium N3700,Intel,1600,2400,4,4,2048,0,14,6,3205,94
621,AMD Turion II P540,AMD,2400,0,2,2,2048,0,45,25,4990,88
622,AMD Turion II Ultra M600,AMD,2400,0,2,2,2048,0,45,35,5234,81
623,Intel Pentium N3520,Intel,2167,2420,4,4,2048,0,22,7,3691,101
624,AMD E2-7110,AMD,1800,0,4,4,2048,0,28,0,3169,105
625,AMD A4-6210,AMD,1800,0,4,4,2048,0,28,15,3542,105
626,Intel Atom Z3795,Intel,1590,2390,4,4,2048,0,22,0,3532,93
627,Intel Atom Z3775,Intel,1460,2390,4,4,2048,0,22,0,3509,95
628,Intel Atom Z3770,Intel,1460,2400,4,4,2048,0,22,0,3772,96
629,Intel Atom x7-E3950,Intel,1600,2000,4,4,2048,0,14,12,2647,93
630,Intel Atom x5-Z8500,Intel,1440,2240,4,4,2048,0,14,0,3235,85
631,Intel Celeron N2940,Intel,1830,2250,4,4,2048,0,22,7,3519,95
632,Intel Celeron 2955U,Intel,1400,0,2,2,512,2048,22,15,3752,63
633,Intel Celeron N3350,Intel,1100,2400,2,2,2048,0,14,6,2686,69
634,Intel Celeron 1007U,Intel,1500,0,2,2,512,2048,22,17,4005,67
635,Intel Celeron N3150,Intel,1600,2080,4,4,2048,0,14,6,3205,88
636,Intel Celeron N2930,Intel,1830,2160,4,4,2048,0,22,7,3607,96
637,Intel Pentium Dual Core T4300,Intel,2100,0,2,2,1024,0,45,35,5335,77
638,Intel Pentium N3510,Intel,2000,0,4,4,2048,0,22,7,3691,86
639,Intel Celeron Dual-Core T3500,Intel,2100,0,2,2,1024,0,45,35,4853,74
640,Intel Celeron B815,Intel,1600,0,2,2,0,2048,32,35,4452,69
641,Intel Celeron B810,Intel,1600,0,2,2,0,2048,32,35,4683,68
642,AMD Turion II P520,AMD,2300,0,2,2,2048,0,45,25,4990,79
643,Intel Celeron N2920,Intel,1860,2000,4,4,2048,0,22,7,3691,79
644,Intel Core Duo T2600,Intel,2160,0,2,2,2048,0,65,31,6578,75
645,Intel Core 2 Duo SL9400,Intel,1860,0,2,2,6144,0,45,17,5620,53
646,Intel Pentium Dual Core T3400,Intel,2160,0,2,2,1024,0,65,35,5578,75
647,Intel Core 2 Duo T6400,Intel,2000,0,2,2,2048,0,45,35,5486,75
648,Intel Core 2 Duo T5870,Intel,2000,0,2,2,2048,0,65,34,5578,68
649,Intel Core i3-3229Y,Intel,1400,0,2,4,512,3072,22,13,4025,65
650,AMD Turion X2 Ultra ZM-86,AMD,2400,0,2,2,2048,0,65,35,5697,68
651,Intel Core 2 Duo T7200,Intel,2000,0,2,2,4096,0,65,34,6374,72
652,Intel Core 2 Duo T5800,Intel,2000,0,2,2,2048,0,65,35,5578,69
653,Intel Core 2 Duo T7250,Intel,2000,0,2,2,2048,0,65,35,6004,72
654,AMD Athlon II N330,AMD,2300,0,2,2,1024,0,45,35,4990,83
655,AMD Athlon II P360,AMD,2300,0,2,2,1024,0,45,25,4772,76
656,AMD Turion II M520,AMD,2300,0,2,2,1024,0,45,35,5234,78
657,Intel Core 2 Duo T5750,Intel,2000,0,2,2,2048,0,65,34,5731,73
658,Intel Pentium Dual Core T4200,Intel,2000,0,2,2,1024,0,45,35,5486,69
659,Intel Core i3-2377M,Intel,1500,0,2,4,512,3072,32,17,4544,77
660,AMD Turion II M500,AMD,2200,0,2,2,1024,0,45,35,5234,74
661,AMD Athlon II P340,AMD,2200,0,2,2,1024,0,45,25,4845,76
662,Intel Core i3-2367M,Intel,1400,0,2,4,512,3072,32,17,4579,71
663,Intel Core i3-2365M,Intel,1400,0,2,4,512,3072,32,17,4579,70
664,Intel Core i5-470UM,Intel,1333,1867,2,4,512,3072,32,18,4848,71
665,AMD A4-5000,AMD,1500,0,4,4,2048,0,28,15,3883,88
666,Intel Celeron Dual-Core T3100,Intel,1900,0,2,2,1024,0,45,35,5243,71
667,Intel Atom x5-Z8300,Intel,1440,1840,4,4,2048,0,14,0,3235,71
668,AMD Turion X2 Ultra ZM-84,AMD,2300,0,2,2,2048,0,65,35,5697,67
669,Intel Pentium Dual Core T2410,Intel,2000,0,2,2,1024,0,65,35,5608,65
670,AMD Athlon II P320,AMD,2100,0,2,2,1024,0,45,25,4990,70
671,AMD Athlon II M320,AMD,2100,0,2,2,1024,0,45,35,5234,70
672,Intel Pentium 987,Intel,1500,0,2,2,512,2048,32,17,4239,62
673,Intel Celeron 887,Intel,1500,0,2,2,512,2048,32,17,4117,58
674,Intel Celeron B800,Intel,1500,0,2,2,512,2048,32,35,4587,64
675,Intel Core i3-2357M,Intel,1300,0,2,4,512,3072,32,17,4579,66
676,AMD A4-3300M,AMD,1900,2500,2,2,2048,0,32,35,4592,65
677,Intel Core 2 Duo T7100,Intel,1800,0,2,2,2048,0,65,34,6089,64
678,AMD A4-3305M,AMD,1900,2500,2,2,1024,0,32,35,4415,67
679,Intel Core 2 Duo T5670,Intel,1800,0,2,2,2048,0,65,35,5792,62
680,AMD Turion X2 Ultra ZM-82,AMD,2200,0,2,2,2048,0,65,35,5697,64
681,AMD Athlon 64 X2 (Desktop) 4400+,AMD,2200,0,2,2,2048,0,90,65,6868,69
682,AMD Turion X2 RM-76,AMD,2300,0,2,2,1024,0,65,35,5486,64
683,AMD A6 Pro-7050B,AMD,2200,3000,2,2,1024,0,28,17,3506,61
684,AMD E2-9000,AMD,1800,2200,2,2,1024,0,28,10,2778,65
685,AMD Turion 64 X2 TL-66,AMD,2300,0,2,2,1024,0,65,35,6115,51
686,Intel Core Duo T2500,Intel,2000,0,2,2,2048,0,65,31,6578,68
687,Intel Celeron Dual-Core T3000,Intel,1800,0,2,2,1024,0,45,35,5366,67
688,AMD Athlon X2 QL-66,AMD,2200,0,2,2,1024,0,65,35,5243,63
689,AMD Turion X2 RM-74,AMD,2200,0,2,2,1024,0,65,35,5486,65
690,AMD Turion 64 X2 TL-64,AMD,2200,0,2,2,1024,0,65,35,6115,63
691,Intel Core 2 Duo T5600,Intel,1830,0,2,2,2048,0,65,34,6374,65
692,AMD Athlon II M300,AMD,2000,0,2,2,1024,0,45,35,5234,65
693,AMD Turion X2 Ultra ZM-80,AMD,2100,0,2,2,2048,0,65,32,5698,62
694,Intel Core i5-520UM,Intel,1060,1866,2,4,512,3072,32,18,5118,62
695,Intel Celeron N2840,Intel,2160,2580,2,2,1024,0,22,7,3519,63
696,AMD Athlon X2 QL-65,AMD,2100,0,2,2,1024,0,65,35,5243,62
697,AMD Athlon X2 QL-64,AMD,2100,0,2,2,1024,0,65,35,5486,61
698,Intel Celeron N2910,Intel,1600,0,4,4,2048,0,22,7,3772,67
699,Intel Atom x5-E8000,Intel,1040,2000,4,4,2048,0,14,5,2892,72
700,AMD A6-1450,AMD,1000,1400,4,4,2048,0,28,0,3874,59
701,AMD Turion X2 RM-72,AMD,2100,0,2,2,1024,0,65,35,5486,64
702,AMD A4 Micro-6400T,AMD,1000,1600,4,4,2048,0,28,4,3542,70
703,Intel Core Duo T2450,Intel,2000,0,2,2,2048,0,65,31,6404,65
704,Intel Core 2 Duo T5550,Intel,1830,0,2,2,2048,0,65,34,5852,61
705,Intel Core Duo T2400,Intel,1830,0,2,2,2048,0,65,31,6578,62
706,Intel Celeron Dual-Core T1700,Intel,1830,0,2,2,1024,0,65,35,5511,60
707,AMD Turion 64 X2 TL-62,AMD,2100,0,2,2,1024,0,65,35,6115,61
708,Intel Pentium Dual Core T2390,Intel,1860,0,2,2,1024,0,65,35,5792,61
709,Intel Core i3-380UM,Intel,1333,0,2,4,512,3072,32,18,4848,60
710,AMD Turion X2 RM-70,AMD,2000,0,2,2,1024,0,65,31,5698,58
711,AMD Turion 64 X2 TL-60,AMD,2000,0,2,2,1024,0,90,0,6094,60
712,AMD Athlon X2 QL-60,AMD,1900,0,2,2,1024,0,65,35,5698,55
713,Intel Pentium D 820,Intel,2800,0,2,2,2048,0,90,95,6809,58
714,Intel Core 2 Duo T5500,Intel,1660,0,2,2,2048,0,65,34,6186,57
715,AMD A6-4455M,AMD,2100,2600,2,0,2048,0,32,17,4256,55
716,AMD A4-4355M,AMD,1900,2400,2,0,2048,0,32,17,4117,50
717,Intel Celeron N2820,Intel,2170,2390,2,2,1024,0,22,7,3691,58
718,Intel Celeron N3050,Intel,1600,2160,2,2,2048,0,14,6,3205,50
719,Intel Celeron N2810,Intel,2000,0,2,2,1024,0,22,7,3772,41
720,Intel Core 2 Duo T5470,Intel,1600,0,2,2,2048,0,65,35,5974,56
721,Intel Core 2 Duo T5450,Intel,1660,0,2,2,2048,0,65,34,6097,56
722,Intel Core 2 Duo SP7500,Intel,1600,0,2,2,4096,0,65,20,5838,38
723,Intel Core Duo T2250,Intel,1700,0,2,2,2048,0,65,31,6462,58
724,Intel Core Duo T2300,Intel,1660,0,2,2,2048,0,65,31,6578,56
725,Intel Pentium Dual Core T2370,Intel,1730,0,2,2,1024,0,65,35,5852,58
726,Intel Core 2 Duo T5250,Intel,1500,0,2,2,2048,0,65,34,6097,53
727,AMD Turion II Neo K685,AMD,1800,0,2,2,1024,0,45,15,4773,60
728,VIA Nano QuadCore L4700,VIA,1200,1460,4,4,4096,0,40,27,4620,68
729,Intel Core 2 Duo SU9400,Intel,1400,0,2,2,3072,0,45,10,5620,48
730,AMD Turion 64 X2 TL-58,AMD,1900,0,2,2,1024,0,65,31,6094,55
731,AMD Turion 64 X2 TL-56,AMD,1800,0,2,2,1024,0,90,0,6094,55
732,Intel Celeron Dual-Core T1600,Intel,1660,0,2,2,1024,0,65,35,5731,55
733,Intel Celeron Dual-Core T1500,Intel,1866,0,2,2,512,0,65,35,5731,57
734,Intel Pentium 977,Intel,1400,0,2,2,512,2048,32,17,4300,59
735,Intel Core i3-330UM,Intel,1200,0,2,4,512,3072,32,18,4978,53
736,Intel Pentium Dual Core T2330,Intel,1600,0,2,2,1024,0,65,35,5913,52
737,Intel Pentium Dual Core T2060,Intel,1600,0,2,2,1024,0,65,31,6462,30
738,Intel Pentium 967,Intel,1300,0,2,2,512,2048,32,17,4483,54
739,AMD Athlon 64 X2 TK-55,AMD,1800,0,2,2,512,0,65,31,6036,53
740,AMD Athlon 64 X2 TK-53,AMD,1700,0,2,2,512,0,65,31,6036,47
741,AMD Turion 64 X2 TL-52,AMD,1600,0,2,2,1024,0,90,31,6446,48
742,Intel Core 2 Duo SU7300,Intel,1300,0,2,2,3072,0,45,10,5243,47
743,AMD Turion Neo X2 L625,AMD,1600,0,2,2,1024,0,65,18,5213,46
744,Intel Pentium U5400,Intel,1200,0,2,2,512,3072,32,18,4978,45
745,Intel Pentium Dual Core T2310,Intel,1460,0,2,2,1024,0,65,35,5913,46
746,Intel Pentium Dual Core SU4100,Intel,1300,0,2,2,2048,0,45,10,5243,46
747,AMD Turion II Neo K625,AMD,1500,0,2,2,1024,0,45,15,4990,49
748,AMD Turion 64 X2 TL-50,AMD,1600,0,2,2,512,0,90,31,6446,47
749,AMD E1-2500,AMD,1400,0,2,2,1024,0,28,15,3883,40
750,AMD E1-6010,AMD,1350,0,2,2,1024,0,28,10,3542,35
751,AMD Athlon Neo X2 L335,AMD,1600,0,2,2,512,0,65,18,5213,46
752,Intel Celeron 847,Intel,1100,0,2,2,512,2048,32,17,4587,38
753,AMD Athlon II Neo K345,AMD,1400,0,2,2,1024,0,45,12,4770,44
754,Intel Atom D2700,Intel,2130,0,2,4,1024,0,32,10,4395,46
755,Intel Core 2 Duo SU9300,Intel,1200,0,2,2,3072,0,45,10,5620,40
756,Intel Core 2 Duo U7700,Intel,1330,0,2,2,2048,0,65,10,6375,41
757,Intel Core 2 Duo L7100,Intel,1200,0,2,2,4096,0,65,17,6156,38
758,Intel Celeron M 900,Intel,2200,0,1,1,1024,0,45,35,5396,39
759,AMD V-Series V140,AMD,2300,0,1,1,512,0,45,25,4845,38
760,Intel Core 2 Duo U7600,Intel,1200,0,2,2,2048,0,65,10,6375,39
761,Intel Celeron Dual-Core SU2300,Intel,1200,0,2,2,1024,0,45,10,5243,39
762,Intel Celeron M U3400,Intel,1060,0,2,2,512,2048,32,18,4978,38
763,AMD Athlon II Neo K325,AMD,1300,0,2,2,1024,0,45,12,4990,40
764,AMD E2-1800,AMD,1700,0,2,2,1024,0,40,18,4312,42
765,AMD E-450,AMD,1650,0,2,2,1024,0,40,18,4523,40
766,AMD E-350,AMD,1600,0,2,2,2048,0,40,18,4809,40
767,Intel Core Duo U2500,Intel,1200,0,2,2,2048,0,65,9,6404,35
768,Intel Core 2 Duo U7500,Intel,1060,0,2,2,2048,0,65,10,6375,33
769,Intel Celeron N2806,Intel,1580,2000,2,2,1024,0,22,4,3691,48
770,Intel Pentium M 780,Intel,2260,0,1,1,2048,0,90,27,7192,35
771,AMD Turion 64 ML-44,AMD,2400,0,1,1,1024,0,90,35,6579,36
772,Intel Pentium M 770,Intel,2130,0,1,1,2048,0,90,27,7192,26
773,Intel Pentium M 765,Intel,2100,0,1,1,2048,0,90,21,7192,32
774,Intel Pentium M 760,Intel,2000,0,1,1,2048,0,90,27,7192,30
775,AMD V-Series V120,AMD,2200,0,1,1,512,0,45,25,4990,36
776,Intel Celeron B710,Intel,1600,0,1,1,256,1536,32,35,4683,32
777,AMD Athlon X2 L310,AMD,1200,0,2,2,1024,0,65,13,5234,32
778,AMD Turion 64 ML-40,AMD,2200,0,1,1,1024,0,90,35,6775,31
779,AMD E1-1200,AMD,1400,0,2,2,1024,0,40,18,4312,33
780,AMD Turion 64 MT-40,AMD,2200,0,1,1,1024,0,90,25,6714,30
781,AMD E-300,AMD,1300,0,2,2,1024,0,32,18,4523,31
782,AMD Turion 64 MT-37,AMD,2000,0,1,1,1024,0,90,25,6734,28
783,AMD Turion 64 ML-37,AMD,2000,0,1,1,1024,0,90,35,6879,29
784,Intel Celeron M 575,Intel,2000,0,1,1,1024,0,65,31,5700,34
785,Intel Celeron M 550,Intel,2000,0,1,1,1024,0,65,30,6217,33
786,Intel Pentium M 750,Intel,1860,0,1,1,2048,0,90,27,7192,29
787,Intel Celeron M 540,Intel,1860,0,1,1,1024,0,65,30,5944,29
788,Intel Pentium M 740,Intel,1730,0,1,1,2048,0,90,27,7192,26
789,Intel Celeron M 440,Intel,1860,0,1,1,1024,0,65,27,6523,38
790,Intel Pentium M 735,Intel,1700,0,1,1,2048,0,90,21,7192,24
791,Intel Pentium M 730,Intel,1600,0,1,1,2048,0,90,27,7192,23
792,AMD Mobile Sempron SI-42,AMD,2100,0,1,1,512,0,65,25,5243,29
793,AMD Mobile Sempron SI-40,AMD,2000,0,1,1,512,0,65,25,5667,28
794,AMD Athlon II Neo K125,AMD,1700,0,1,1,1024,0,45,12,4990,26
795,AMD Turion 64 ML-34,AMD,1800,0,1,1,1024,0,90,35,6879,24
796,Intel Mobile Pentium 4 532,Intel,3060,0,1,1,1024,0,90,88,7161,33
797,Intel Atom N2800,Intel,1860,0,2,4,1024,0,32,0,4395,37
798,Intel Celeron N2805,Intel,1460,0,2,2,1024,0,22,4,3772,33
799,AMD A4-1250,AMD,1000,0,2,2,1024,0,28,9,3883,26
800,AMD E1-2100,AMD,1000,0,2,2,1024,0,28,9,3883,28
801,AMD A4-1200,AMD,1000,0,2,2,1024,0,28,3,3883,26
802,Intel Atom D525,Intel,1800,0,2,4,1024,0,45,18,4950,33
803,AMD Turion 64 MT-32,AMD,1790,0,1,1,512,0,90,25,6879,23
804,AMD Mobile Sempron 3600+,AMD,2000,0,1,1,256,0,65,25,6097,27
805,AMD Mobile Sempron 3500+,AMD,1800,0,1,1,512,0,90,25,6462,25
806,AMD Mobile Sempron 3400+,AMD,2000,0,1,1,256,0,0,62,6462,23
807,AMD Athlon Neo MV-40,AMD,1600,0,1,1,512,0,65,15,5481,20
808,Intel Atom N570,Intel,1660,0,2,4,1024,0,45,8,4697,26
809,Intel Atom N2600,Intel,1600,0,2,4,1024,0,32,3,4395,30
810,Intel Atom 330,Intel,1600,0,2,4,1024,0,45,8,5587,30
811,Intel Pentium M 725,Intel,1600,0,1,1,2048,0,90,21,7192,24
812,Intel Celeron M 530,Intel,1730,0,1,1,1024,0,65,30,6217,26
813,Intel Atom N550,Intel,1500,0,2,4,1024,0,45,8,4970,26
814,Intel Core 2 Solo SU3500,Intel,1400,0,1,1,3072,0,45,5,5396,22
815,Intel Pentium 4 P4 3.0,Intel,3000,0,1,1,512,0,130,89,8043,30
816,AMD Turion 64 ML-30,AMD,1600,0,1,1,1024,0,90,35,6879,20
817,Intel Pentium SU2700,Intel,1300,0,1,1,2048,0,45,10,5274,19
818,VIA Nano L2100,VIA,1800,0,1,1,1024,0,65,25,5670,19
819,Intel Core Solo U1500,Intel,1330,0,1,1,2048,0,65,5,6216,17
820,Intel Core 2 Solo SU3300,Intel,1200,0,1,1,3072,0,45,5,5620,18
821,AMD Athlon 64 TF-20,AMD,1600,0,1,1,512,0,65,25,5366,20
822,AMD Turion 64 ML-28,AMD,1600,0,1,1,512,0,90,35,6775,18
823,Intel Celeron M 743,Intel,1300,0,1,1,1024,0,45,10,5243,19
824,Intel Pentium 4 2.4 GHz,Intel,2400,0,1,1,512,0,130,59,7983,21
825,AMD C-70,AMD,1000,1333,2,2,1024,0,40,9,4117,28
826,AMD C-60,AMD,1000,1333,2,2,1024,0,40,9,4523,27
827,AMD C-50,AMD,1000,0,2,2,1024,0,40,9,4809,21
828,AMD E-240,AMD,1500,0,1,1,512,0,40,18,4809,15
829,Intel Celeron M 723,Intel,1200,0,1,1,1024,0,45,5,5608,18
830,Intel Atom N475,Intel,1860,0,1,2,512,0,45,6,5001,17
831,Intel Atom N470,Intel,1860,0,1,2,512,0,45,6,5053,17
832,Intel Atom N455,Intel,1660,0,1,2,512,0,45,6,5001,14
833,Intel Atom N450,Intel,1660,0,1,2,512,0,45,5,5132,15
834,Intel Atom N280,Intel,1660,0,1,2,512,0,45,2,5455,15
835,Intel Atom N270,Intel,1600,0,1,2,512,0,45,2,5792,14
836,AMD C-30,AMD,1200,0,1,1,512,0,40,9,4809,10
837,"Intel Pentium 4-M P4-M 1,7",Intel,1700,0,1,1,512,0,130,30,7981,21
838,Intel Mobile A A110,Intel,800,0,1,1,512,0,90,3,6063,7
839,VIA C7-M C7-M-1200,VIA,1200,0,1,1,128,0,90,5,6036,1
840,Intel Pentium Gold 7505,Intel,2000,3500,2,4,2560,4096,10,15,1179,222
